material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge
mp-754020,0.066839273267857,"['Co', 'Cu', 'Li', 'O']",4.740939710028933,LiCoCuO4,4.0,135.491199811596,0.0,True,2.0076332,True,insertion,Li,3.201515331666665,133.76743030104512,651.7113053194149,428.258478986448,2086.4637358006016,1.0,0.0,0.066839273267857,0.041144628749996005
mp-754024,0.08276632671874201,"['Li', 'O', 'Ti', 'V']",3.623873719224081,LiTi2V3O10,4.0,380.7766175782156,1.4546000000000001,False,0.000355,True,insertion,Li,1.80460511791666,241.8592456562056,945.366021835533,436.4604325266514,1706.0123613089163,3.0,0.7277805849999901,0.08276632671874201,0.014795043875002
mp-754026,0.090139473361104,"['Li', 'Mn', 'O', 'Si']",2.936221115413443,Li3Mn2(SiO4)2,4.0,178.06769116150758,0.0,True,9.0058334,True,insertion,Li,3.626589601666675,83.28451611484627,249.36946481834804,302.0387601219421,904.3607080834048,1.0,0.0,0.090139473361104,0.005338674999999
mp-754039,0.082410751363637,"['O', 'V', 'Y']",3.93827109342696,Y2V2O7,3.0,165.1530232013852,0.48689999999999906,False,1.9999015,True,insertion,Mg,-0.208801787499996,128.85466859792422,498.12709712033154,-26.905085130966196,-104.00982828090939,1.0,0.0,0.082410751363637,0.17379760416666
mp-754044,0.09513096687500001,"['Ho', 'O', 'Ti']",7.127310967933232,Ho2TiO5,3.0,213.28370542132387,2.9325,False,4.8200000000000006e-05,True,insertion,Mg,-1.587387177499993,57.03933829461014,386.4557282728418,-90.5435142219485,-613.4548677317308,1.0,0.0,0.09513096687500001,0.18025232875000602
mp-754069,0.043796831071428004,"['Co', 'Hg', 'O']",7.538728274537547,Co2HgO4,3.0,168.484595397094,0.0,True,0.0002026,True,insertion,Mg,-2.244848882499997,67.91951431250888,431.09099424753856,-152.4690458043781,-967.7341366923995,1.0,0.0,0.043796831071428004,0.570584810733339
mp-754070,0.052903517222205,"['F', 'Mn', 'O']",3.691057092473536,Mn2OF3,3.0,329.08073022384457,0.7049000000000001,False,1.7e-06,True,insertion,Li,2.574725264166668,141.20036437081612,496.9499958261978,363.55214545507937,1279.5097092812318,1.0,0.0,0.052903517222205,0.067903578928572
mp-754073,0.039857758437499,"['Lu', 'O', 'Ti']",7.064866530415413,Lu2TiO5,3.0,224.60502021591478,3.0518,False,5.7e-06,True,insertion,Mg,-1.865868207500002,54.70242635809921,385.3894974085577,-102.06751821468748,-719.0860107190325,1.0,0.0,0.039857758437499,0.17707266952203102
mp-754098,0.111348965000007,"['Li', 'O', 'V']",3.211854045482234,LiVO3,3.0,109.48133773155732,2.0933,False,3.05e-05,True,insertion,Li,2.7945093641666663,237.5560831414869,823.505312106515,663.8526988536404,2301.29330612265,1.0,0.0,0.111348965000007,0.023868585833340002
mp-754126,0.022865469999999003,"['Au', 'Cu', 'O']",9.927749746999856,CuAuO2,3.0,48.926148223663034,0.0,True,1.427196,True,insertion,Li,1.5597974366666651,89.50165007832643,746.7222166900734,139.60444436961043,1164.7353994952268,1.0,0.0,0.022865469999999003,0.212830964
mp-754127,0.065158453076921,"['Co', 'Li', 'O', 'P']",2.909204421964634,LiCo2(PO4)2,4.0,359.3111962622729,0.613699999999999,False,13.9999004,True,insertion,Li,3.903661786666669,83.31433471104175,254.7343665623,325.2309846930502,994.3968124999905,1.0,0.0,0.065158453076921,0.040720808571415
mp-754156,0.11055246024305601,"['Mn', 'O', 'Sb']",4.4327383089271954,Mn3SbO8,3.0,155.30097393646733,0.0,True,10.0004064,True,insertion,Li,2.6170181804166672,242.36456106446408,1073.5067139076752,634.2724625944079,2809.3865870957397,3.0,0.779577084999985,0.11055246024305601,0.053253065624999006
mp-754160,0.07087747164583401,"['Cr', 'O', 'Sc']",3.303428049730581,ScCrO4,3.0,323.6191186327299,0.0,True,4.0005455,True,insertion,Mg,0.9698115525000021,154.83046876611124,535.6555270710714,150.15637728836543,519.4849183140027,1.0,0.0,0.07087747164583401,0.210946876634617
mp-754167,0.057122566372550004,"['F', 'Mn', 'O']",3.500268813747479,Mn5OF11,3.0,237.04607291640602,0.0,True,22.0021729,True,insertion,Li,3.30143244333334,154.47686171161033,540.8192326328999,509.9949229990282,1785.4781605928968,1.0,0.0,0.057122566372550004,0.059301711500002005
mp-754170,0.045412046742423,"['Co', 'Li', 'O', 'P']",3.167380856037569,LiCoP2O7,4.0,251.45467328029105,1.1587,False,7.9996038,True,insertion,Li,3.606788979166675,108.61420814964403,332.83530051361595,391.74852893505135,1200.4666937701384,1.0,0.0,0.045412046742423,0.043286395972208
mp-754178,0.068957639313726,"['F', 'Mn', 'O']",3.245645685337057,Mn5OF11,3.0,255.64249979567342,1.095899999999999,False,22.0050947,True,insertion,Li,3.312369053333336,154.47686171161033,543.961281244274,511.6843761895914,1801.8005142050845,1.0,0.0,0.068957639313726,0.06772103200000301
mp-754179,0.082473657708342,"['Li', 'Mn', 'O', 'P']",2.9580526759171653,LiMn(PO4)2,4.0,282.7264630202485,0.30410000000000004,False,8.0049404,True,insertion,Li,4.11746030791666,201.73956317017007,613.151814181152,830.6546438896211,2524.628257617985,2.0,0.329006787500005,0.082473657708342,0.019195806964342
mp-754186,0.076259576575516,"['In', 'Mn', 'O']",5.027600838095474,Mn2InO5,3.0,201.26954166934146,0.0,True,14.0000001,True,insertion,Mg,0.636459347499998,84.5889959312855,413.8007051479893,53.83745715610595,263.3673267935283,1.0,0.0,0.076259576575516,0.16660209158087802
mp-754192,0.061156358437484,"['O', 'Ti', 'Tm']",6.728289990365334,Tm2TiO5,3.0,229.88512061745027,3.0448,False,3.5300000000000004e-05,True,insertion,Mg,-1.8243174674999971,56.08354652698371,377.99100468729995,-102.31419356852521,-689.5755924089148,1.0,0.0,0.061156358437484,0.183195117941185
mp-754200,0.052583239959940006,"['Cr', 'Mn', 'O']",4.224744080500446,Mn4CrO8,3.0,157.11949706548995,0.0,True,17.9998558,True,insertion,Li,2.321804296666665,191.18129299342087,831.6782946530467,443.8855475144132,1930.9942379698487,1.0,0.0,0.052583239959940006,0.077374360520836
mp-754205,0.076689539374989,"['Cr', 'Fe', 'O']",4.743283925022543,CrFe2O5,3.0,170.61821042824099,0.0,True,24.0014249,True,insertion,Mg,1.103219597499998,104.76056164726054,486.26944140536153,115.57390465436451,536.4619774237718,1.0,0.0,0.076689539374989,0.155773902352933
mp-754222,0.111573747083319,"['Fe', 'Nb', 'O']",4.308216485312016,NbFeO4,3.0,328.0039374750374,2.1062,False,20.0003825,True,insertion,Li,2.6984933241666713,121.99683001183708,535.5622515479131,329.20763135643864,1445.2111604777153,1.0,0.0,0.111573747083319,0.0
mp-754229,0.082111077833335,"['Ag', 'Mn', 'O']",5.951288980976059,MnAgO3,3.0,117.6380503297355,0.0,True,4.0013101,True,insertion,Mg,1.651740377499995,120.20922310970796,669.7281575889954,198.55442755821016,1106.2170398384235,1.0,0.0,0.082111077833335,0.06481797681817901
mp-754244,0.021451361180536,"['F', 'O', 'V']",3.285872612650691,V2(OF)3,3.0,209.09292635153182,0.0,True,2.0014344,True,insertion,Mg,1.375386322500003,122.36503936539657,420.84216681536896,168.29920149534092,578.8205601691233,1.0,0.0,0.021451361180536,0.112704193267968
mp-754249,0.021247231193606,"['Li', 'Nb', 'O', 'Te', 'Zr']",4.941755946300098,Li3ZrNb(TeO6)2,5.0,219.13550988586053,2.0336,False,0.0009486999999990001,True,insertion,Li,2.228530706666655,40.66454629775061,198.86083132585557,90.6221900972051,443.1674689629275,1.0,0.0,0.021247231193606,0.057879201375
mp-754254,0.071667498636363,"['O', 'P', 'W']",4.09964519557247,P2WO8,3.0,302.79733294602545,2.0461,False,0.0037611999999990005,True,insertion,Li,3.514771014166664,138.27144687719323,553.4636934390737,485.9924735708445,1945.298147093281,2.0,0.567384265000015,0.071667498636363,0.006334047692308001
mp-754261,0.08727669067308001,"['Fe', 'La', 'O']",6.626227655223765,La4FeO8,3.0,741.2396530875476,0.713499999999999,False,0.0013058,True,insertion,Li,2.890090589166656,35.90751681432489,234.4356244689565,103.77597642542385,677.5401920431394,1.0,0.0,0.08727669067308001,0.06940450803570801
mp-754270,0.023281733680536,"['F', 'O', 'V']",3.263546874812621,V2(OF)3,3.0,105.26165956126093,1.6682000000000001,False,0.9996105,True,insertion,Li,2.914282976666664,125.34751588050241,427.35812263239995,365.2981316980026,1245.442501727828,1.0,0.0,0.023281733680536,0.11193723666667
