material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,crystal_system
mp-22456,0.091245361776307,"['Ba', 'Co', 'O', 'Tb']",7.032115057017236,Ba2Tb2Co4O11,4.0,237.1355693991469,0.0,True,12.0223084,False,insertion,Mg,-1.379527387499993,52.11579229567352,341.8250684531486,-71.89516279314277,-471.5570436651785,1.0,0.0,0.091245361776307,0.31991854656252,3.65480965,19,Orthorhombic
mp-2250,0.045563285833331,"['Ni', 'Zr']",8.39223856802199,ZrNi2,2.0,82.55398849947746,0.0,True,1e-07,False,insertion,Zn,-4.414957022749999,706.7944015842894,5247.483304157429,-3120.466906914942,-23167.41326545321,1.0,0.0,0.056471633333334,0.0,6.60268026,6,Cubic
mp-22621,0.090224463392857,"['Ag', 'La', 'O', 'Ti']",6.231575611977413,LaTiAgO4,4.0,191.1339587914792,1.4657,False,0.0003027,False,insertion,Mg,-1.3575657925,72.28195336513875,409.3188524932417,-98.12750730359264,-555.6772723701783,1.0,0.0,0.090224463392857,0.437943817944445,4.15479601,14,Tetragonal
mp-22648,0.039835239374999,"['Cu', 'Fe', 'S', 'Sn']",4.4552918402694495,FeCu2SnS4,4.0,160.23133704786264,0.0,True,3.9803547,False,insertion,Mg,-1.1997644825,118.01309144348406,498.2524572854813,-141.58791558391684,-597.7856015694689,1.0,0.0,0.039835239374999,0.272960550138889,5.07971764,8,Tetragonal
mp-22681,0.033065780507812,"['O', 'Pb', 'W']",7.480351071478391,Pb2WO5,3.0,301.1192988542443,3.0894,False,0.0009189,False,insertion,Mg,-1.811740712499999,38.82081223043499,272.9733830319323,-70.33324601019699,-494.5569914678084,1.0,0.0,0.033065780507812,0.281429330441171,2.18050753,16,Monoclinic
mp-22720,0.007831626875001,"['Nb', 'O', 'Rb', 'Sr']",4.734086504744042,RbSr2Nb3O10,4.0,245.33049696160737,1.4661,False,0.0209482,False,insertion,Mg,-2.708648887500007,74.06527710023462,322.81518696895176,-200.61683041993027,-874.3929970515579,1.0,0.0,0.007831626875001,0.274048834075641,1.19518776,16,Tetragonal
mp-22974,0.123255858263888,"['Cl', 'Mo', 'O']",2.319342857948678,MoCl4O,3.0,363.347843515568,1.7247,False,1.5000000000000002e-05,False,insertion,Mg,1.4961139075,100.79386253967652,258.0309328695972,150.79909953625338,386.0436672314034,1.0,0.0,0.123255858263888,0.067535522115388,-1.70684683,12,Triclinic
mp-23,0.0,['Ni'],9.289219853118466,Ni,1.0,10.492020341068946,0.0,True,0.707330999999999,False,insertion,Na,-0.555671876781608,629.8193481597051,1381.22927720939,-349.9728992252726,-767.5102647326462,1.0,0.0,0.0,0.416753907586207,8.06383486,1,Cubic
mp-23105,0.027472306624995,"['Br', 'Fe', 'O', 'Sr']",4.747682024218532,Sr3Fe2Br2O5,4.0,214.8754851435025,0.9887999999999992,False,10.0035151,False,insertion,Mg,-1.9957727724999992,83.93035776583437,350.5280732646989,-167.50592281523615,-699.5743846185712,1.0,0.0,0.027472306624995,0.387222098461533,2.65710486,12,Tetragonal
mp-23123,0.017503270892856,"['Cl', 'Fe', 'Mo', 'O']",3.22211784777339,FeMoClO4,4.0,258.95175063754,1.5746,False,1.4e-06,False,insertion,Li,2.951680071666667,103.81065187690864,345.74649393547406,306.41583237179714,1020.533035997959,1.0,0.0,0.017503270892856,0.0,-0.93923498,14,Tetragonal
mp-23129,0.0,"['Ba', 'Br', 'Cu', 'O']",4.865547191405451,Ba2Cu3(BrO2)2,4.0,235.1787867809721,0.0,True,0.0362165,False,insertion,Mg,-2.1163342275,75.13704364229648,295.3265907145265,-159.01509721335333,-625.0097722200362,1.0,0.0,0.0,0.495309965833327,2.12147725,11,Tetragonal
mp-23137,0.003007534500003,"['Ba', 'Bi', 'O', 'Y']",6.695812406516988,Ba2YBiO6,4.0,165.79485167451938,1.8236999999999992,False,0.0,False,insertion,Mg,-1.342039702499998,77.3668301995525,452.1210760449957,-103.82935778437532,-606.7644343894052,1.0,0.0,0.003007534500003,0.365474119545456,2.48667827,10,Cubic
mp-23211,0.0,"['Cl', 'Pr']",3.919534134106673,PrCl3,2.0,209.51261968580377,4.3454000000000015,False,0.0,False,insertion,Na,0.12305659277779,51.78799310850286,203.05599151253955,6.372853978732078,24.987378458649143,1.0,0.0,0.0,0.055189023148146,0.71296134,8,Hexagonal
mp-2352131,0.04458711140625,"['Fe', 'K', 'O']",3.028738956549091,KFeO2,3.0,278.3895466335178,2.8141,False,0.0,True,insertion,Mg,-0.316122615,192.6852742332477,637.1157473814088,-60.91217276260642,-201.4066961198905,1.0,0.0,0.04458711140625,0.161546146157411,0.08673112,16,Triclinic
mp-23548,0.049876170999993,"['Ag', 'Bi', 'O']",7.836022365054108,AgBiO3,3.0,154.63007543874295,0.0,True,0.000377599999999,False,insertion,Mg,1.193447077500001,71.09159392434917,543.8221015604663,84.84405500383134,649.0228977872473,1.0,0.0,0.049876170999993,0.103078297424241,2.466159509999999,10,Trigonal
