,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass,formula_pretty
2477,0.4168037892845459,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.6541486886439161,-0.0131492908306707,-0.8438312685269173,0.4168037892845459,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.5407211013175413,0.6657926694244705,0.201620413479166,1,-0.7991538826347379,-0.8127899162197857,LiCoSiO4
171,-0.8302591307146874,-0.0827529746914719,-0.0,0,0,1.4429944633676537,-1.0066996455563926,-0.6780932454973677,-0.6058361575745236,-0.8302591307146874,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.7915715669669681,-0.6561991151099974,-0.6877543095283054,1,1.6156593184188286,-0.6180460571947323,Ti3(P2O7)2
141,0.0153419359597735,-0.0827529746914719,0.0,0,0,1.4429944633676537,-0.1225693993441235,-0.6780932454973677,0.1478150271080558,0.0153419359597735,0.4417349988383212,-1.0987406553410524,0,0.6643212921017734,-0.3941302421540558,-0.6561991151099974,-0.4170750460042923,0,0.9129530174365276,0.0517907758991594,Zn(FeO2)4
356,-0.0,-0.0827529746914719,-0.5531601452419062,0,1,1.4429944633676537,-0.6754862248077657,-0.6780932454973677,2.2897710256796,-0.5531601452419062,0.4417349988383212,0.3820071422726114,0,-0.3652304726845002,1.9148512981096304,-0.6561991151099974,1.1683320689220698,0,-0.4030467651771419,2.294678612570654,Er5(MoO6)2
2369,-0.1711732172093109,1.7241174339768628,-0.0,0,0,-0.7034641555777603,-0.0875230538174094,-0.0131492908306707,-1.0024946758285131,-0.1711732172093109,-1.2905098173233371,-1.5543553622991026,0,-1.0181169576709177,-0.721878225659873,-0.6561991151099974,-0.8810966406168861,1,-0.4273811679305046,-0.9008337987624772,LiV2F7
197,0.4357051966036321,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.7193738562947568,-0.0131492908306707,-0.5265044539237258,0.4357051966036321,0.4417349988383212,0.3820071422726114,0,0.6894323107550971,-0.6979746223395503,-0.6561991151099974,-0.6104173770928731,0,-0.1763819176622066,-0.5528147838439076,CrP2O7
1698,-0.2361717270231557,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.3139074329765791,-0.0131492908306707,-0.7248337130507204,-0.2361717270231557,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.721878225659873,0.6657926694244705,-0.6877543095283054,0,-0.6464020818580548,-0.673089576942546,Li4Ti3V3O12
3336,-0.0698056895116079,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.0558116447338405,-0.0131492908306707,-0.5463373798364252,-0.0698056895116079,0.4417349988383212,0.3820071422726114,0,0.6140992547951258,-0.721878225659873,-1.9781908996444653,-0.9971020392700346,0,-0.4469826048174511,-0.5300337924666711,V9O22
923,1.0513515937337132,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.024308881797109,-0.0131492908306707,0.0288174716318589,1.0513515937337132,0.4417349988383212,0.3820071422726114,0,0.4132111055685362,-0.546165773182414,-0.6561991151099974,-0.3010696473511439,1,-0.2475442455064593,-0.068418027606651,Mn2NiO6
17,-1.508677859098774,-0.0827529746914719,-0.0,0,0,1.4429944633676537,-1.769829235384716,-0.6780932454973677,-0.2964425133364116,-1.508677859098774,-0.2511629276263421,-0.9848369786015396,0,-1.0934500136308891,0.1095568757004416,1.9877844539589384,1.709690595970096,0,5.994278075871422,-0.2851368870939069,Sr2CuC(NO)2
1652,0.1056419410715881,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.5555584150667835,-0.0131492908306707,-1.200823934955508,0.1056419410715881,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.721878225659873,0.6657926694244705,-0.8810966406168861,1,-0.1294400995456715,-1.0979380639733964,LiV2(CO3)4
925,1.092891816091324,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.3812800126997938,-0.0131492908306707,1.9724442110764069,1.092891816091324,0.4417349988383212,0.3820071422726114,0,1.317207777088191,2.29068984059512,-0.6561991151099974,0.201620413479166,0,-0.8354276477103081,1.96801669949848,Ni(WO4)2
3337,0.0439191984876548,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.1460707394051996,-0.0131492908306707,-1.171074546086459,0.0439191984876548,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,0.6657926694244705,-0.3010696473511439,1,-0.7956345652030318,-1.0648144322399564,LiMn2(BO3)2
